,X.1,X,City,TotalDeaths,Massachusetts.Cities.by.Population.Rank,Population,County,Year,Deaths,DeathsPerCapita,TotalDeathsPerCapita
1318,1318,1318,Southbridge,28,NA,16911,Worcester,2016,12,0.000709597,0.001655727
1319,1319,1319,Southwick,8,185,9758,Hampden,2016,2,0.00020496,0.00081984
1320,1320,1320,Spencer,22,162,11954,Worcester,2016,3,0.000250962,0.001840388
1321,1321,1321,Springfield,163,3,154758,Hampden,2016,40,0.000258468,0.001053257
1322,1322,1322,Sterling,4,203,8136,Worcester,2016,2,0.000245821,0.000491642
1323,1323,1323,Stockbridge,2,291,1906,Berkshire,2016,0,0,0.001049318
1324,1324,1324,Stoneham,27,90,22036,Middlesex,2016,8,0.000363042,0.001225268
1325,1325,1325,Stoughton,49,66,28528,Norfolk,2016,11,0.000385586,0.001717611
1326,1326,1326,Stow,3,217,7102,Middlesex,2016,1,0.000140805,0.000422416
1327,1327,1327,Sturbridge,10,186,9584,Worcester,2016,2,0.000208681,0.001043406
1328,1328,1328,Sudbury,0,101,18867,Middlesex,2016,0,0,0
1329,1329,1329,Sunderland,3,265,3644,Franklin,2016,1,0.000274424,0.000823271
1330,1330,1330,Sutton,1,188,9458,Worcester,2016,0,0,0.000105731
1331,1331,1331,Swampscott,15,132,15177,Essex,2016,4,0.000263557,0.000988338
1332,1332,1332,Swansea,15,121,16528,Bristol,2016,1,6.05E-05,0.000907551
1333,1333,1333,Taunton,106,21,57139,Bristol,2016,29,0.000507534,0.001855125
1334,1334,1334,Templeton,12,202,8138,Worcester,2016,5,0.000614402,0.001474564
1335,1335,1335,Tewksbury,40,54,31247,Middlesex,2016,13,0.00041604,0.001280123
1336,1336,1336,Tisbury,6,261,4109,Dukes,2016,1,0.000243368,0.001460209
1337,1337,1337,Tolland,0,341,500,Hampden,2016,0,0,0
1338,1338,1338,Topsfield,4,226,6560,Essex,2016,1,0.000152439,0.000609756
